Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
82,OK,,180.0,91.56279655,5.3106422,136.111111,123.6,2414.601934,53.2369199,0.024209515,2.5212257,0.015884046,0.000316685,83.6,1.6722,0.016200731,0.285675,0.323196,0.391128
83,OK,,180.0,91.56279655,5.3106422,137.222222,123.6,2434.312968,53.671507,0.016700378,2.95841991,0.018566281,0.000217284,83.6,1.6722,0.018783565,0.285675,0.323196,0.391128
84,OK,,180.0,91.56279655,5.3106422,138.333333,123.6,2454.024002,54.1060941,0.011719795,3.37863028,0.021121926,0.000151662,83.6,1.6722,0.021273588,0.285675,0.323196,0.391128
85,OK,,180.0,91.56279655,5.3106422,139.444444,123.6,2473.735036,54.5406812,0.008452227,3.81850994,0.02377834,0.000108784,83.6,1.6722,0.023887124,0.285675,0.323196,0.391128
86,OK,,180.0,91.56279655,5.3106422,140.555556,123.6,2493.446088,54.9752683,0.00629818,4.24989506,0.026361113,8.06e-05,83.6,1.6722,0.026441734,0.285675,0.323196,0.391128
87,OK,,180.0,91.56279655,5.3106422,141.666667,123.6,2513.157123,55.4098554,0.004657496,4.72020773,0.029149347,5.92e-05,83.6,1.6722,0.02920859,0.285675,0.323196,0.391128
88,OK,,180.0,91.56279655,5.3106422,142.777778,123.6,2532.868157,55.8444425,0.003686777,5.12761636,0.031554153,4.67e-05,83.6,1.6722,0.031600835,0.285675,0.323196,0.391128
89,OK,,180.0,91.56279655,5.3106422,143.888889,123.6,2552.579191,56.2790296,0.002897273,5.56564531,0.034113537,3.65e-05,83.6,1.6722,0.034150023,0.285675,0.323196,0.391128
90,OK,,180.0,91.56279655,5.3106422,145.0,123.6,2572.290225,56.7136167,0.002131777,6.12526575,0.037344253,2.66e-05,83.6,1.6722,0.037370895,0.285675,0.323196,0.391128
91,OK,,180.0,96.67193931,5.60697248,135.0,123.6,2394.890899,52.8023328,0.047930539,2.00676112,0.012672608,0.000629666,83.6,1.6722,0.013302274,0.285675,0.323196,0.391128
92,OK,,180.0,96.67193931,5.60697248,136.111111,123.6,2414.601934,53.2369199,0.027621863,2.41145427,0.015171345,0.000361016,83.6,1.6722,0.015532361,0.285675,0.323196,0.391128
93,OK,,180.0,96.67193931,5.60697248,137.222222,123.6,2434.312968,53.671507,0.01734034,2.92191874,0.018288915,0.00022486,83.6,1.6722,0.018513776,0.285675,0.323196,0.391128
94,OK,,180.0,96.67193931,5.60697248,138.333333,123.6,2454.024002,54.1060941,0.013199912,3.24953258,0.020288244,0.000170684,83.6,1.6722,0.020458927,0.285675,0.323196,0.391128
95,OK,,180.0,96.67193931,5.60697248,139.444444,123.6,2473.735036,54.5406812,0.009516685,3.68058377,0.022890332,0.000122392,83.6,1.6722,0.023012725,0.285675,0.323196,0.391128
96,OK,,180.0,96.67193931,5.60697248,140.555556,123.6,2493.446088,54.9752683,0.00704101,4.11429637,0.025487772,9.01e-05,83.6,1.6722,0.025577835,0.285675,0.323196,0.391128
97,OK,,180.0,96.67193931,5.60697248,141.666667,123.6,2513.157123,55.4098554,0.005256832,4.55253567,0.028091676,6.69e-05,83.6,1.6722,0.028158553,0.285675,0.323196,0.391128
98,OK,,180.0,96.67193931,5.60697248,142.777778,123.6,2532.868157,55.8444425,0.004050505,5.00104443,0.030736387,5.13e-05,83.6,1.6722,0.030787637,0.285675,0.323196,0.391128
99,OK,,180.0,96.67193931,5.60697248,143.888889,123.6,2552.579191,56.2790296,0.003046855,5.49401334,0.033606631,3.83e-05,83.6,1.6722,0.033644918,0.285675,0.323196,0.391128
100,OK,,180.0,96.67193931,5.60697248,145.0,123.6,2572.290225,56.7136167,0.002492199,5.89566966,0.035939098,3.12e-05,83.6,1.6722,0.035970276,0.285675,0.323196,0.391128
101,OK,,180.0,101.7810819,5.90330275,135.0,123.6,2394.890899,52.8023328,0.058748003,1.88963079,0.011916363,0.000771028,83.6,1.6722,0.012687391,0.285675,0.323196,0.391128
102,OK,,180.0,101.7810819,5.90330275,136.111111,123.6,2414.601934,53.2369199,0.033134252,2.28426117,0.01435184,0.000432692,83.6,1.6722,0.014784532,0.285675,0.323196,0.391128
103,OK,,180.0,101.7810819,5.90330275,137.222222,123.6,2434.312968,53.671507,0.021316954,2.69776389,0.01688586,0.000276911,83.6,1.6722,0.017162771,0.285675,0.323196,0.391128
104,OK,,180.0,101.7810819,5.90330275,138.333333,123.6,2454.024002,54.1060941,0.01501917,3.12868673,0.019507759,0.000194056,83.6,1.6722,0.019701815,0.285675,0.323196,0.391128
