Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
139,OK,,140,12.5314263,157,123.6,157,61.4071574,0.000270821,7.67277816,0.043610986,3.15E-06,0.875046341,13833.2923,0.787261146
140,OK,,140,12.5314263,160,123.6,160,62.5805426,0,8.87444489,0.049917941,0,0.858191628,0,0.7725
141,OK,,140,13.0204737,121,123.6,121,47.3265353,3.51182527,0.322130217,0.002006043,0.04512859,0.918989306,0.044451721,1.0214876
142,OK,,140,13.0204737,124,123.6,124,48.4999205,2.97734153,0.411229722,0.002547551,0.038135911,0.930132437,0.06680188,0.996774194
143,OK,,140,13.0204737,127,123.6,127,49.6733057,2.4503526,0.529909095,0.003264703,0.031274906,0.940002751,0.104387304,0.973228346
144,OK,,140,13.0204737,130,123.6,130,50.8466908,1.94900242,0.686387079,0.004204032,0.024772879,0.948169892,0.169703015,0.950769231
145,OK,,140,13.0204737,133,123.6,133,52.020076,1.46795186,0.899217604,0.005473437,0.018571438,0.954495079,0.294723377,0.929323308
146,OK,,140,13.0204737,136,123.6,136,53.1934612,1.02521851,1.18113398,0.007141882,0.012898986,0.958522111,0.553677813,0.908823529
147,OK,,140,13.0204737,139,123.6,139,54.3668464,0.632650742,1.57664522,0.009465386,0.007907599,0.959363176,1.19699879,0.889208633
148,OK,,140,13.0204737,142,123.6,142,55.5402315,0.322717808,2.10547949,0.012542218,0.004000563,0.956280389,3.1351135,0.870422535
149,OK,,140,13.0204737,145,123.6,145,56.7136167,0.097605968,2.87091182,0.016955633,0.001198096,0.947657759,14.1521545,0.852413793
150,OK,,140,13.0204737,148,123.6,148,57.8870019,0.005377811,3.89896921,0.022803787,6.52E-05,0.932552267,349.923707,0.835135135
151,OK,,140,13.0204737,151,123.6,151,59.0603871,0.001043098,5.05218038,0.029258706,1.25E-05,0.914439716,2346.05763,0.818543046
152,OK,,140,13.0204737,154,123.6,154,60.2337722,0.000569438,6.25043916,0.035828996,6.71E-06,0.896220868,5336.34414,0.802597403
153,OK,,140,13.0204737,157,123.6,157,61.4071574,0,7.4798678,0.042432476,0,0.878192248,0,0.787261146
154,OK,,140,13.0204737,160,123.6,160,62.5805426,0.000191214,8.64676206,0.048550691,2.19E-06,0.861826809,22136.0773,0.7725
155,OK,,140,13.5095211,121,123.6,121,47.3265353,3.61631165,0.314558363,0.00195286,0.046313661,0.916941522,0.042165954,1.0214876
156,OK,,140,13.5095211,124,123.6,124,48.4999205,3.07524312,0.401209071,0.002477975,0.039261926,0.928320456,0.063113949,0.996774194
157,OK,,140,13.5095211,127,123.6,127,49.6733057,2.54776503,0.515144729,0.003164329,0.032413776,0.938338918,0.097622974,0.973228346
158,OK,,140,13.5095211,130,123.6,130,50.8466908,2.03889784,0.666348261,0.00406948,0.025836494,0.946796024,0.157508983,0.950769231
159,OK,,140,13.5095211,133,123.6,133,52.020076,1.55674786,0.868501468,0.005271527,0.019635897,0.953378589,0.268463754,0.929323308
160,OK,,140,13.5095211,136,123.6,136,53.1934612,1.10548749,1.13741851,0.006858728,0.013869935,0.95783493,0.494503249,0.908823529
161,OK,,140,13.5095211,139,123.6,139,54.3668464,0.703551187,1.51150679,0.009050507,0.008771034,0.959257192,1.03186318,0.889208633
162,OK,,140,13.5095211,142,123.6,142,55.5402315,0.372043495,2.02224779,0.012016513,0.004602256,0.956890866,2.61100473,0.870422535
163,OK,,140,13.5095211,145,123.6,145,56.7136167,0.135111933,2.72042592,0.016030318,0.001655376,0.949649872,9.68378977,0.852413793
164,OK,,140,13.5095211,148,123.6,148,57.8870019,0.014091858,3.68346714,0.021503941,0.000170623,0.936124538,126.032056,0.835135135
165,OK,,140,13.5095211,151,123.6,151,59.0603871,0.001555357,4.84076637,0.027974406,1.86E-05,0.918010667,1506.15901,0.818543046
166,OK,,140,13.5095211,154,123.6,154,60.2337722,0.000624506,6.04170215,0.034561416,7.35E-06,0.899685402,4699.10334,0.802597403
167,OK,,140,13.5095211,157,123.6,157,61.4071574,0.000354942,7.24396593,0.041016835,4.12E-06,0.88202807,9948.34484,0.787261146
