HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,11.5533316,151.789474,123.6,151.789474,59.3691726,0.000542737,6.00945725,0.034913389,6.49E-06,83.6,1.672195,0.034919875
140,11.5533316,153.842105,123.6,153.842105,60.1720151,0.000363589,6.83223324,0.039411309,4.30E-06,83.6,1.672195,0.039415613
140,11.5533316,155.894737,123.6,155.894737,60.9748576,0.000257047,7.65083501,0.043818954,3.01E-06,83.6,1.672195,0.043821968
140,11.5533316,157.947368,123.6,157.947368,61.7777001,0.000181663,8.46639011,0.048143803,2.11E-06,83.6,1.672195,0.048145913
140,11.5533316,160,123.6,160,62.5805426,8.31E-05,9.30610039,0.052536088,9.56E-07,83.6,1.672195,0.052537045
140,12.0423789,121,123.6,121,47.3265353,3.31419079,0.337208343,0.002112885,0.042871167,83.6,1.672195,0.044984053
140,12.0423789,123.052632,123.6,123.052632,48.1293778,2.94438311,0.400429396,0.0025,0.038004821,83.6,1.672195,0.040504821
140,12.0423789,125.105263,123.6,125.105263,48.9322203,2.58375087,0.476695293,0.002965003,0.033269643,83.6,1.672195,0.036234646
140,12.0423789,127.157895,123.6,127.157895,49.7350628,2.436579,0.53089116,0.003262502,0.031262293,83.6,1.672195,0.034524795
140,12.0423789,129.210526,123.6,129.210526,50.5379053,1.88953557,0.683127755,0.004215233,0.024196417,83.6,1.672195,0.028411651
140,12.0423789,131.263158,123.6,131.263158,51.3407478,1.5597065,0.823043844,0.005057057,0.01990921,83.6,1.672195,0.024966267
140,12.0423789,133.315789,123.6,133.315789,52.1435902,1.24482178,0.996699537,0.006096902,0.015833715,83.6,1.672195,0.021930617
140,12.0423789,135.368421,123.6,135.368421,52.9464327,0.951725989,1.21136211,0.007375525,0.012057256,83.6,1.672195,0.019432781
