Row/Case,Status,Description,"VARY   1
HEATER2 
PARAM   
TEMP    

C       
","VARY   2
AIR2    
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
","ACIDGAS 




KMOL/HR 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","ACIDTEMP




C       
","ACIDPRES




BAR     
"
170,OK,,150.25641,10.2742846,170,123.6,170,66.4918265,0,14.0003289,0.076565242,0,83.6,1.6722
171,OK,,150.25641,10.5125385,170,123.6,170,66.4918265,0,13.8193964,0.075554164,0,83.6,1.6722
172,OK,,150.25641,10.7507923,170,123.6,170,66.4918265,5.40E-05,13.7852093,0.07526197,5.94E-07,83.6,1.6722
173,OK,,150.25641,10.9890462,170,123.6,170,66.4918265,5.80E-05,13.6283186,0.074389492,6.38E-07,83.6,1.6722
174,OK,,150.25641,11.2273,170,123.6,170,66.4918265,6.16E-05,13.494237,0.073607938,6.78E-07,83.6,1.6722
175,OK,,150.25641,11.4655538,170,123.6,170,66.4918265,6.44E-05,13.3952903,0.073008127,7.09E-07,83.6,1.6722
176,OK,,150.25641,11.7038077,170,123.6,170,66.4918265,6.76E-05,13.2887085,0.072369281,7.44E-07,83.6,1.6722
177,OK,,150.25641,11.9420615,170,123.6,170,66.4918265,7.13E-05,13.1745119,0.071692106,7.83E-07,83.6,1.6722
178,OK,,150.25641,12.1803154,170,123.6,170,66.4918265,7.52E-05,13.0560513,0.070993698,8.26E-07,83.6,1.6722
179,OK,,150.25641,12.4185692,170,123.6,170,66.4918265,7.85E-05,12.9641887,0.070432066,8.61E-07,83.6,1.6722
180,OK,,150.25641,12.6568231,170,123.6,170,66.4918265,8.24E-05,12.8579419,0.069800587,9.04E-07,83.6,1.6722
181,OK,,150.25641,12.8950769,170,123.6,170,66.4918265,8.56E-05,12.7741464,0.069281472,9.39E-07,83.6,1.6722
182,OK,,150.25641,13.1333308,170,123.6,170,66.4918265,8.93E-05,12.6845812,0.068740543,9.79E-07,83.6,1.6722
183,OK,,150.25641,13.3715846,170,123.6,170,66.4918265,9.35E-05,12.5864873,0.068150498,1.02E-06,83.6,1.6722
184,OK,,150.25641,13.6098385,170,123.6,170,66.4918265,0.000100147,12.4317013,0.067271514,1.10E-06,83.6,1.6722
185,OK,,150.25641,13.8480923,170,123.6,170,66.4918265,0.000104853,12.3334813,0.066684217,1.15E-06,83.6,1.6722
186,OK,,150.25641,14.0863462,170,123.6,170,66.4918265,0.000108328,12.2633663,0.066230687,1.18E-06,83.6,1.6722
187,OK,,150.25641,14.3246,170,123.6,170,66.4918265,0.000117592,12.0873742,0.065253516,1.29E-06,83.6,1.6722
188,OK,,150.25641,14.5628538,170,123.6,170,66.4918265,0,12.0169284,0.064814311,0,83.6,1.6722
189,OK,,150.25641,14.8011077,170,123.6,170,66.4918265,0.000127106,11.9236153,0.064256285,1.39E-06,83.6,1.6722
190,OK,,150.25641,15.0393615,170,123.6,170,66.4918265,0.000133882,11.8135493,0.063612446,1.46E-06,83.6,1.6722
191,OK,,150.25641,15.2776154,170,123.6,170,66.4918265,0.000140636,11.7097054,0.063001147,1.54E-06,83.6,1.6722
192,OK,,150.25641,15.5158692,170,123.6,170,66.4918265,0.000150086,11.5964895,0.062334633,1.64E-06,83.6,1.6722
193,OK,,150.25641,15.7541231,170,123.6,170,66.4918265,0.000156202,11.5136492,0.061834289,1.70E-06,83.6,1.6722
194,OK,,150.25641,15.9923769,170,123.6,170,66.4918265,0.000165252,11.3953113,0.061151003,1.80E-06,83.6,1.6722
195,OK,,150.25641,16.2306308,170,123.6,170,66.4918265,0.000174551,11.2812561,0.060491223,1.90E-06,83.6,1.6722
196,OK,,150.25641,16.4688846,170,123.6,170,66.4918265,0.000181346,11.2024714,0.060013888,1.98E-06,83.6,1.6722
197,OK,,150.25641,16.7071385,170,123.6,170,66.4918265,0.000194257,11.0590576,0.059203357,2.11E-06,83.6,1.6722
